Gene,M-6
ENSMUSG00000026278,29
ENSMUSG00000026279,267
ENSMUSG00000101952,3
ENSMUSG00000026280,1028
ENSMUSG00000026281,1878
ENSMUSG00000026283,732
ENSMUSG00000073609,394
ENSMUSG00000094651,1
ENSMUSG00000093805,0
ENSMUSG00000073608,0
ENSMUSG00000034000,0
ENSMUSG00000026285,0
ENSMUSG00000100518,0
ENSMUSG00000051185,200
ENSMUSG00000040710,0
ENSMUSG00000100777,0
ENSMUSG00000100062,0
ENSMUSG00000100336,0
ENSMUSG00000100589,0
ENSMUSG00000040693,0
ENSMUSG00000097814,0
ENSMUSG00000100454,1
ENSMUSG00000026331,0
ENSMUSG00000044768,373
ENSMUSG00000040648,1656
ENSMUSG00000026333,228
ENSMUSG00000026335,730
ENSMUSG00000089706,20
ENSMUSG00000100182,0
ENSMUSG00000100711,0
ENSMUSG00000026336,0
ENSMUSG00000100009,59
ENSMUSG00000067028,0
ENSMUSG00000100684,0
ENSMUSG00000099375,0
ENSMUSG00000050840,0
ENSMUSG00000089866,0
ENSMUSG00000099669,0
ENSMUSG00000047496,0
ENSMUSG00000097482,0
ENSMUSG00000101214,0
ENSMUSG00000056536,1448
ENSMUSG00000100672,0
ENSMUSG00000026319,1146
ENSMUSG00000026321,0
ENSMUSG00000099843,33
ENSMUSG00000038866,1068
ENSMUSG00000101583,0
ENSMUSG00000044340,569
ENSMUSG00000100247,0
ENSMUSG00000057329,550
ENSMUSG00000054006,2
ENSMUSG00000009905,311
ENSMUSG00000009907,1834
ENSMUSG00000067006,0
ENSMUSG00000059956,0
ENSMUSG00000048775,0
ENSMUSG00000044594,0
ENSMUSG00000058017,0
ENSMUSG00000073602,0
ENSMUSG00000073601,0
ENSMUSG00000026327,0
ENSMUSG00000087210,0
ENSMUSG00000067001,0
ENSMUSG00000062345,0
ENSMUSG00000026315,106
ENSMUSG00000086161,0
ENSMUSG00000100457,0
ENSMUSG00000026312,0
ENSMUSG00000047216,1840
ENSMUSG00000101253,0
ENSMUSG00000038702,231
ENSMUSG00000101453,0
ENSMUSG00000097648,0
ENSMUSG00000070695,0
ENSMUSG00000094429,0
ENSMUSG00000107979,0
ENSMUSG00000100265,0
ENSMUSG00000101303,0
ENSMUSG00000100305,0
ENSMUSG00000101415,0
ENSMUSG00000100617,0
ENSMUSG00000102030,4
ENSMUSG00000026374,3569
ENSMUSG00000026377,1689
ENSMUSG00000099936,0
ENSMUSG00000064302,1895
ENSMUSG00000107722,0
ENSMUSG00000026380,0
ENSMUSG00000048402,0
ENSMUSG00000097408,0
ENSMUSG00000099860,0
ENSMUSG00000101179,0
ENSMUSG00000037035,0
ENSMUSG00000004451,1652
ENSMUSG00000098447,7
ENSMUSG00000098923,518
ENSMUSG00000101731,3
ENSMUSG00000026383,295
ENSMUSG00000026384,1002
ENSMUSG00000101224,0
ENSMUSG00000036975,355
ENSMUSG00000036962,0
ENSMUSG00000026387,1
ENSMUSG00000050777,0
ENSMUSG00000026385,7012
ENSMUSG00000026388,51
ENSMUSG00000026389,1762
ENSMUSG00000036907,0
ENSMUSG00000101275,0
ENSMUSG00000026390,0
ENSMUSG00000058665,0
ENSMUSG00000099957,0
ENSMUSG00000101386,0
ENSMUSG00000101922,0
ENSMUSG00000099336,0
ENSMUSG00000100979,0
ENSMUSG00000097881,0
ENSMUSG00000101700,0
ENSMUSG00000003721,1052
ENSMUSG00000101791,0
ENSMUSG00000026339,1192
ENSMUSG00000085857,0
ENSMUSG00000050534,0
ENSMUSG00000001674,2155
ENSMUSG00000099960,0
ENSMUSG00000036815,0
ENSMUSG00000099574,0
ENSMUSG00000026341,10535
ENSMUSG00000102063,0
ENSMUSG00000026342,777
ENSMUSG00000026343,0
ENSMUSG00000026344,0
ENSMUSG00000049690,22
ENSMUSG00000101600,0
ENSMUSG00000036155,8231
ENSMUSG00000026347,9
ENSMUSG00000026348,3
ENSMUSG00000102014,0
ENSMUSG00000026349,1622
ENSMUSG00000051590,0
ENSMUSG00000036104,1381
ENSMUSG00000036086,456
